event_id,method_id,t1,A1,t2,A2,t3,A3,threshold,true_t0,expected_t0,t0_est,amax_est,error_vs_expected_ns,error_vs_true_ns,start_cycle,valid_cycle,latency_cycles,t0_raw,amax_raw,pass
0,0,12.639493171,0.242323662,17.121956780,1.106515120,18.823770949,1.397266727,0.300000000,20.266829354,11.382587675,11.382598877,1.397262573,0.000011202,-8.884230477,15,18,3,0x000b61f2,0x000165b3,1
0,1,12.639493171,0.242323662,17.121956780,1.106515120,18.823770949,1.397266727,0.300000000,20.266829354,14.196919093,14.109527588,1.397262573,-0.087391505,-6.157301766,19,22,3,0x000e1c0a,0x000165b3,1
0,2,12.639493171,0.242323662,17.121956780,1.106515120,18.823770949,1.397266727,0.300000000,20.266829354,20.074325485,20.177444458,1.397262573,0.103118973,-0.089384896,23,26,3,0x00142d6d,0x000165b3,1
1,0,14.808737252,0.318532159,17.186481407,0.680438436,19.243297236,0.977679938,0.300000000,21.035519786,12.715963438,12.716003418,0.977676392,0.000039980,-8.319516368,27,30,3,0x000cb74c,0x0000fa49,1
1,1,14.808737252,0.318532159,17.186481407,0.680438436,19.243297236,0.977679938,0.300000000,21.035519786,14.468582129,14.447692871,0.977676392,-0.020889258,-6.587826915,31,34,3,0x000e729c,0x0000fa49,1
1,2,14.808737252,0.318532159,17.186481407,0.680438436,19.243297236,0.977679938,0.300000000,21.035519786,20.947218374,20.877655029,0.977676392,-0.069563344,-0.157864756,35,38,3,0x0014e0ae,0x0000fa49,1
2,0,14.949275185,1.051853915,18.598671608,3.691896094,20.420526430,5.054359178,0.300000000,22.392032557,13.495271175,13.495285034,5.054351807,0.000013859,-8.896747523,39,42,3,0x000d7ecb,0x00050dea,1
2,1,14.949275185,1.051853915,18.598671608,3.691896094,20.420526430,5.054359178,0.300000000,22.392032557,7.672972026,7.452819824,5.054351807,-0.220152202,-14.939212733,43,46,3,0x000773ec,0x00050dea,1
2,2,14.949275185,1.051853915,18.598671608,3.691896094,20.420526430,5.054359178,0.300000000,22.392032557,22.257534494,22.126235962,5.054351807,-0.131298532,-0.265796595,47,50,3,0x00162051,0x00050dea,1
3,0,10.784229769,0.313030349,15.463092907,1.619961915,17.326625470,2.144644082,0.300000000,18.824545667,9.663569592,9.663558960,2.144638062,-0.000010632,-9.160986707,51,54,3,0x0009a9df,0x00022507,1
3,1,10.784229769,0.313030349,15.463092907,1.619961915,17.326625470,2.144644082,0.300000000,18.824545667,10.501830395,10.445541382,2.144638062,-0.056289014,-8.379004285,55,58,3,0x000a720f,0x00022507,1
3,2,10.784229769,0.313030349,15.463092907,1.619961915,17.326625470,2.144644082,0.300000000,18.824545667,18.847848695,18.863861084,2.144638062,0.016012389,0.039315417,59,62,3,0x0012dd26,0x00022507,1
4,0,15.685208335,0.311910423,18.422293834,0.723302314,20.217731292,0.933833929,0.300000000,21.834211260,13.609996075,13.610046387,0.933837891,0.000050312,-8.224164873,63,66,3,0x000d9c2c,0x0000ef10,1
4,1,15.685208335,0.311910423,18.422293834,0.723302314,20.217731292,0.933833929,0.300000000,21.834211260,15.411585540,15.415542603,0.933837891,0.003957063,-6.418668657,67,70,3,0x000f6a61,0x0000ef10,1
4,2,15.685208335,0.311910423,18.422293834,0.723302314,20.217731292,0.933833929,0.300000000,21.834211260,21.274193898,21.268646240,0.933837891,-0.005547658,-0.565565020,71,74,3,0x001544c6,0x0000ef10,1
5,0,12.350882894,0.743984164,16.610175957,3.221868917,18.609060526,4.551926616,0.300000000,20.098368978,11.072031412,11.072036743,4.551925659,0.000005331,-9.026332235,75,78,3,0x000b1271,0x00048d4b,1
5,1,12.350882894,0.743984164,16.610175957,3.221868917,18.609060526,4.551926616,0.300000000,20.098368978,7.097643921,6.926559448,4.551925659,-0.171084473,-13.171809530,79,82,3,0x0006ed33,0x00048d4b,1
5,2,12.350882894,0.743984164,16.610175957,3.221868917,18.609060526,4.551926616,0.300000000,20.098368978,20.769122465,20.616638184,4.551925659,-0.152484282,0.518269206,83,86,3,0x00149ddc,0x00048d4b,1
6,0,14.655679907,0.239116056,19.869985470,1.586343647,21.804369640,2.099342500,0.300000000,23.106117026,13.730205853,13.730209351,2.099349976,0.000003498,-9.375907675,87,90,3,0x000dbaef,0x0002196f,1
6,1,14.655679907,0.239116056,19.869985470,1.586343647,21.804369640,2.099342500,0.300000000,23.106117026,16.221685966,16.163589478,2.099349976,-0.058096489,-6.942527549,91,94,3,0x001029e1,0x0002196f,1
6,2,14.655679907,0.239116056,19.869985470,1.586343647,21.804369640,2.099342500,0.300000000,23.106117026,23.211630612,23.287124634,2.099349976,0.075494022,0.181007608,95,98,3,0x00174981,0x0002196f,1
7,0,15.244946145,0.845912416,17.926555372,2.326013655,21.501013980,4.435930147,0.300000000,22.677510996,13.712343861,13.712356567,4.435928345,0.000012707,-8.965154428,99,102,3,0x000db65d,0x00046f99,1
7,1,15.244946145,0.845912416,17.926555372,2.326013655,21.501013980,4.435930147,0.300000000,22.677510996,9.505308941,9.403289795,4.435928345,-0.102019146,-13.274221201,103,106,3,0x0009673e,0x00046f99,1
7,2,15.244946145,0.845912416,17.926555372,2.326013655,21.501013980,4.435930147,0.300000000,22.677510996,22.587581602,22.529846191,4.435928345,-0.057735410,-0.147664804,107,110,3,0x001687a4,0x00046f99,1
8,0,13.959346979,0.399813617,17.169904240,1.468156971,20.690348425,2.915073254,0.300000000,22.059266430,12.757837645,12.757858276,2.915069580,0.000020631,-9.301408154,111,114,3,0x000cc203,0x0002ea42,1
8,1,13.959346979,0.399813617,17.169904240,1.468156971,20.690348425,2.915073254,0.300000000,22.059266430,12.485156949,12.473403931,2.915069580,-0.011753018,-9.585862499,115,118,3,0x000c7931,0x0002ea42,1
8,2,13.959346979,0.399813617,17.169904240,1.468156971,20.690348425,2.915073254,0.300000000,22.059266430,22.047715816,22.143661499,2.915069580,0.095945683,0.084395069,119,122,3,0x001624c7,0x0002ea42,1
