event_id,method,estimate_ns,reference_ns,reference_name,abs_error_ns,status
0,LIN,11.382588,13.091081,true_t_leading,1.708494,valid
0,EXP,14.196919,13.091081,true_t_leading,1.105838,valid
0,LOG,20.074325,20.266829,true_t0_peak,0.192504,valid
1,LIN,12.715963,14.655928,true_t_leading,1.939964,valid
1,EXP,14.468582,14.655928,true_t_leading,0.187345,valid
1,LOG,20.947218,21.035520,true_t0_peak,0.088301,valid
2,LIN,13.495271,12.678634,true_t_leading,0.816637,valid
2,EXP,7.672972,12.678634,true_t_leading,5.005662,valid
2,LOG,22.257534,22.392033,true_t0_peak,0.134498,valid
3,LIN,9.663570,10.721282,true_t_leading,1.057713,valid
3,EXP,10.501830,10.721282,true_t_leading,0.219452,valid
3,LOG,18.847849,18.824546,true_t0_peak,0.023303,valid
4,LIN,13.609996,15.544592,true_t_leading,1.934596,valid
4,EXP,15.411586,15.544592,true_t_leading,0.133006,valid
4,LOG,21.274194,21.834211,true_t0_peak,0.560017,valid
5,LIN,11.072031,10.640606,true_t_leading,0.431425,valid
5,EXP,7.097644,10.640606,true_t_leading,3.542962,valid
5,LOG,20.769122,20.098369,true_t0_peak,0.670753,valid
6,LIN,13.730206,15.097700,true_t_leading,1.367494,valid
6,EXP,16.221686,15.097700,true_t_leading,1.123986,valid
6,LOG,23.211631,23.106117,true_t0_peak,0.105514,valid
7,LIN,13.712344,13.275237,true_t_leading,0.437106,valid
7,EXP,9.505309,13.275237,true_t_leading,3.769929,valid
7,LOG,22.587582,22.677511,true_t0_peak,0.089929,valid
8,LIN,12.757838,13.403857,true_t_leading,0.646019,valid
8,EXP,12.485157,13.403857,true_t_leading,0.918700,valid
8,LOG,22.047716,22.059266,true_t0_peak,0.011551,valid
9,LIN,16.563453,15.444473,true_t_leading,1.118980,valid
9,EXP,9.522513,15.444473,true_t_leading,5.921960,valid
9,LOG,24.462816,24.951672,true_t0_peak,0.488855,valid
10,LIN,10.869196,12.289679,true_t_leading,1.420483,valid
10,EXP,11.231459,12.289679,true_t_leading,1.058220,valid
10,LOG,18.872874,19.176339,true_t0_peak,0.303465,valid
11,LIN,11.820811,12.221096,true_t_leading,0.400285,valid
11,EXP,11.149429,12.221096,true_t_leading,1.071667,valid
11,LOG,21.419826,21.144312,true_t0_peak,0.275514,valid
12,LIN,11.193636,10.898379,true_t_leading,0.295257,valid
12,EXP,6.229418,10.898379,true_t_leading,4.668960,valid
12,LOG,20.070243,20.511398,true_t0_peak,0.441155,valid
13,LIN,11.239823,14.539199,true_t_leading,3.299376,valid
13,EXP,17.382497,14.539199,true_t_leading,2.843298,valid
13,LOG,19.280110,19.839226,true_t0_peak,0.559116,valid
14,LIN,12.598254,12.515929,true_t_leading,0.082325,valid
14,EXP,10.086713,12.515929,true_t_leading,2.429216,valid
14,LOG,23.351826,21.608440,true_t0_peak,1.743386,valid
15,LIN,11.950955,14.037438,true_t_leading,2.086483,valid
15,EXP,16.243131,14.037438,true_t_leading,2.205693,valid
15,LOG,20.840424,20.792852,true_t0_peak,0.047572,valid
16,LIN,12.141021,14.229233,true_t_leading,2.088212,valid
16,EXP,13.988939,14.229233,true_t_leading,0.240294,valid
16,LOG,20.547965,20.380376,true_t0_peak,0.167589,valid
17,LIN,10.594517,11.210811,true_t_leading,0.616294,valid
17,EXP,8.481580,11.210811,true_t_leading,2.729231,valid
17,LOG,18.142342,19.039853,true_t0_peak,0.897511,valid
18,LIN,13.073423,12.522086,true_t_leading,0.551337,valid
18,EXP,5.299227,12.522086,true_t_leading,7.222859,valid
18,LOG,20.668878,21.261926,true_t0_peak,0.593049,valid
19,LIN,15.972838,15.790480,true_t_leading,0.182358,valid
19,EXP,11.182859,15.790480,true_t_leading,4.607620,valid
19,LOG,25.705058,24.656899,true_t0_peak,1.048159,valid
